"created_at","screen_name","text","retweet_count","name","location","description","followers_count","long","lat"
"2020-08-09 19:22:13","UrBeautyByCarol","I live in #Commifornia and I sang at church today @GavinNewsom #Nomask #MaskMandate #Recallnewsom #Scamdemic #Plandemic #COVID19 #California #Church #Gospel #Christian #Trump2020 #2020election",1,"💕Caroline💕🕊","California USA","#Christian #Patriot #BuildTheWall #TrumpTrain 🚂 #Politics #Deplorable #Conservative #Independent #WW1WGA Co-Founder #MAGABOOKDOTCOM 🇺🇸 🇬🇧 Wife,Mother #Gigi",4074,-119.4179324,36.778261
"2020-08-09 17:51:49","FOREXEAASSARV10","Attack of the Corona Karens https://t.co/eHBicpfKM7 via @YouTube #plandemic #news #trump #NWO #wakeUp #COVIDー19 #covidiots #covid19 #coronavirus #breakingnews #breaking",0,"Joshua Allison","California, USA","The AssarV12 Team™© Business Owner and Algorithmic Strategy Designer.",2569,-119.4179324,36.778261
"2020-08-10 00:16:50","kristiereeves","Yes, this is what this #plandemic is really about. Please wake up to the truth!
#savethechildren #EndHumanTrafficking #Plandemic2020 #WWG1GWA https://t.co/CnL67gnzST",3,"Kristie Reeves","Los Angeles, CA","Actress- Producer- Radio/TV Show Host of ""Rebel Hearts w/ Kristie Reeves""",2948,-118.2436849,34.0522342
"2020-08-09 20:08:53","vwben1","The Dems in the government need to actually do something to stop this #Plandemic and start using the cure for #COVID19 #HCQisTheCure https://t.co/JpwJk1MLbA",0,"Ben Stevens 🇺🇸","Las Vegas, NV","PATRIOT! TRUMP supporter. I love our country and freedom and thank every man and woman that as fought and still fights for our country",118,-115.1398296,36.1699412
"2020-08-09 23:59:31","sunoveristambul","No good #Plandemic goes unused https://t.co/apQYlwx2ls",0,"JR","Salt Lake City, Utah","""an educated man can entertain an idea without endorsing it"" - Aristotle",453,-111.8910474,40.7607793
"2020-08-09 16:41:32","RealRexKwonDo","Good morning to all!

Except for people wearing masks alone in their vehicle. You folks just look like clueless robots. You probably also think your leopard print cloth mask blocks extremely tiny aerosol particles. So cute. But hey, you do you. #maskoff #covid19 #plandemic",1,"Rex Kwon Do","Salt Lake City, UT","",433,-111.8910474,40.7607793
"2020-08-09 18:23:44","Zumbagirl202","So sick of hearing about covid and the false narrative the left always  tries to spin! #COVIDIOTS #Plandemic #VoteRED2020RemoveEveryDemocrat #Trump2020VictoryNowMoreThanEver #VoteLikeYourLifeDependsOnIt https://t.co/EooZAFIpmF",0,"Robin","Arizona, USA","Seahawks Fan, Healthcare Worker, Trump Supporter and Mom.",142,-111.0937311,34.0489281
"2020-08-09 17:25:23","MyFishezBigger","H1N1 had 150,000 deaths world wide in the first year. Covid19 will end up having around 200,000 its first year. Something doesn't add up. https://t.co/jSQpWMak3o

#plandemic 
#FakeNews 
#fakevirus 
#CommunismKills 
#CommunismStop 
#Scamdemic https://t.co/5RQS9gArsp",0,"Musically_Challenged","Denver, CO","Mind your own business",2,-104.990251,39.7392358
"2020-08-09 21:05:10","Annhogue66","This is why I can't believe and won't believe your made up numbers @SylvesterTurner #Plandemic #Scamdemic #houstontx https://t.co/J5R9bQApaV",0,"Ann hogue","Texas","love America. MAGA. God bless Texas.",209,-99.9018131,31.9685988
"2020-08-09 21:58:47","TyeeZchavis","“Dreary”

Try 200K dead in a month.
All hospitalized over filled in 72 hours with 2k dead in less than a week after an outdoor event.
That’s a REAL pandemic. 
That was the Spanish Flu. 
No vaccine was ever created either. 

#covid19 #plandemic

https://t.co/7NXD3kTyXF https://t.co/bicnsMuEAt",0,"Tyee Chavis 🇺🇸","Texas","Christian ✝️ Native 🏹 truth seeker 🔎 truth speaker 🗣  RTs and Likes are not endorsements ‼️",130,-99.9018131,31.9685988
